batch,representation,seed,k,events,pairs,nmi,ari,agreement
batch4,tcn,43,2,67598,115336,0.908885115460547,0.95416825046825,0.9884077824790178
batch4,tcn,43,4,67598,115336,0.7026806703363215,0.7925753625307059,0.8881875563570785
batch4,tcn,43,6,67598,115336,0.5180427905539878,0.5075430869152048,0.6869060830963446
batch5,tcn,43,2,70469,120883,0.9053776293754506,0.952045898445916,0.9878642985366015
batch5,tcn,43,4,70469,120883,0.6936098540105274,0.7822991069485153,0.8827957611905727
batch5,tcn,43,6,70469,120883,0.5148855850358025,0.4994313693838627,0.6832887999139664
batch6,tcn,43,2,51084,89191,0.912093182500116,0.9561370821144364,0.9889114372526376
batch6,tcn,43,4,51084,89191,0.696063186285871,0.7811639588449903,0.8817930060207868
batch6,tcn,43,6,51084,89191,0.510425725114276,0.49165378857488407,0.6766938368221009
batch0,transformer,41,2,77994,134469,0.8097577286957942,0.88665158443529,0.9708111163167719
batch0,transformer,41,4,77994,134469,0.5574426059209378,0.5552242389985101,0.784247670466799
batch0,transformer,41,6,77994,134469,0.5398650686079761,0.5755364835148769,0.7516230506659527
batch1,transformer,41,2,81086,140767,0.8089867741465115,0.8860585606760846,0.9706536333089432
batch1,transformer,41,4,81086,140767,0.5477607716592743,0.5430791598628764,0.7780090504166459
batch1,transformer,41,6,81086,140767,0.5279972285031073,0.5550280130183329,0.7412461727535573
batch2,transformer,41,2,78310,135534,0.8132631570609083,0.8892681928549533,0.9715053049419334
batch2,transformer,41,4,78310,135534,0.5479279031203746,0.5422169007033525,0.7757315507547922
batch2,transformer,41,6,78310,135534,0.5263226209179791,0.5533922711715625,0.738729765224962
batch3,transformer,41,2,75238,130996,0.8281553848655991,0.9001771511458437,0.9743885309475099
batch3,transformer,41,4,75238,130996,0.5615257147400233,0.5578125167856085,0.7855583376591652
batch3,transformer,41,6,75238,130996,0.5362246840818699,0.5666205109860749,0.7458242999786253
batch4,transformer,41,2,67598,115336,0.8278519659633627,0.8999442373572478,0.9743271831865159
batch4,transformer,41,4,67598,115336,0.5604356165783776,0.5553088678322172,0.7834761045987376
batch4,transformer,41,6,67598,115336,0.5373293138541598,0.5611394431335693,0.7444683359922314
batch5,transformer,41,2,70469,120883,0.8247774329326667,0.8977296558130983,0.9737432062407452
batch5,transformer,41,4,70469,120883,0.5504165554880713,0.5425664539114567,0.7768586153553436
batch5,transformer,41,6,70469,120883,0.5296504967589911,0.5495234884397366,0.7369439871611393
batch6,transformer,41,2,51084,89191,0.8201911587384807,0.8943700239636153,0.9728560056507943
batch6,transformer,41,4,51084,89191,0.5484401250742555,0.5406559793062777,0.775672433317263
batch6,transformer,41,6,51084,89191,0.528275120960829,0.546095298637005,0.734995683420973
