group,representation,block_days,pairs,calendar_blocks,occupied_blocks,nmi,ari,nmi_low,nmi_high,ari_low,ari_high,delta_nmi_vs_raw_low,delta_nmi_vs_raw_high,defined_resamples
suining,event_row_permutation,7,102248,11,11,0.03691575603496478,-0.011066864907300166,0.040963364284820454,0.0953906202492709,-0.002064372181716322,0.05404002056450193,-0.5893066814623225,-0.550822459725073,2000
suining,within_event_time_permutation,7,102248,11,11,0.5133689875185957,0.611723096089793,0.5090160899704729,0.575788163108539,0.6041973739838582,0.6654085965100953,-0.12346081594073788,-0.07906816125498449,2000
suining,covariate_conditional_row_permutation,7,102248,11,11,0.5179487509002271,0.5581925783323078,0.5167169562007756,0.5707334233835711,0.5558600762187775,0.6098945171612674,-0.11642676394053925,-0.07232313592652923,2000
suining,raw25,14,102248,6,6,0.6147559961756034,0.6300977146136341,0.6128076022613038,0.6710554627254917,0.6269127463505119,0.6862037793169309,0.0,0.0,2000
suining,statistics9,14,102248,6,6,0.526979149741847,0.5165716387766812,0.5265092644782763,0.5548374762348579,0.5137101958611067,0.550332741700803,-0.12487697103070927,-0.08190921801822171,2000
suining,raw_pca6,14,102248,6,6,0.613576704512943,0.6292400812225825,0.6114074892852839,0.6710073192646332,0.6260581214311901,0.6866703471517708,-0.0023733044837190853,0.0011423924424653897,2000
suining,gaf_pca6,14,102248,6,6,0.30125230228544425,0.25853665773016515,0.30125230228544425,0.37497564150734475,0.25745698549312235,0.32820998841434,-0.3338520433047124,-0.2853849317762517,2000
suining,gaf_signed_pca6,14,102248,6,6,0.30187739530573127,0.26063921130561557,0.30187739530573127,0.37780221726442803,0.2603100495125669,0.33044892051228286,-0.3335593607497533,-0.28272410840139334,2000
suining,event_row_permutation,14,102248,6,6,0.03691575603496478,-0.011066864907300166,0.03748794850924428,0.11699476757985272,-0.00817391558107926,0.06739686265616647,-0.5852079832759178,-0.5478921044069592,2000
suining,within_event_time_permutation,14,102248,6,6,0.5133689875185957,0.611723096089793,0.5108724361528454,0.5739845459616776,0.6068284479400238,0.6611015223160237,-0.12417483010592856,-0.08135404143744007,2000
suining,covariate_conditional_row_permutation,14,102248,6,6,0.5179487509002271,0.5581925783323078,0.5179487509002271,0.575014499141904,0.5536345847976225,0.6190443183419202,-0.11203026011242734,-0.09138851211456095,2000
yandun,raw25,3,811453,15,15,0.59010347851854,0.6255029137158772,0.5665518726875969,0.625378847407,0.6048368224838534,0.6617407176568376,0.0,0.0,2000
yandun,statistics9,3,811453,15,15,0.47307034470251624,0.4817403197344106,0.4522340282608253,0.501492583182368,0.4436999825295136,0.5323633011614421,-0.14069361595350546,-0.09465078259706172,2000
yandun,raw_pca6,3,811453,15,15,0.5881149375519549,0.6242514238973287,0.5639172157660918,0.623436191869691,0.603432945125215,0.660562439255748,-0.003038409743011644,-0.0010176480225578077,2000
yandun,gaf_pca6,3,811453,15,15,0.26873942299562503,0.2542564163281206,0.26159604315653706,0.2870456227791493,0.24683719265132456,0.2765388958629116,-0.3418414316222147,-0.2995252632050658,2000
yandun,gaf_signed_pca6,3,811453,15,15,0.27129014602452933,0.25873530907062087,0.26404938192262084,0.2903678159684857,0.25086956049529346,0.28268603543600423,-0.3384854743795157,-0.2962810615580717,2000
yandun,event_row_permutation,3,811453,15,15,0.02558834670667039,0.006144654657972991,0.021960325189973616,0.04076268886555469,0.003817009097587258,0.027136401980618265,-0.5923234533162003,-0.5342323490356229,2000
yandun,within_event_time_permutation,3,811453,15,15,0.43837171537719105,0.5803825656934011,0.4175636264727348,0.48040880621662113,0.5542245632815449,0.6232852845560412,-0.1577257621994312,-0.13767139613232168,2000
yandun,covariate_conditional_row_permutation,3,811453,15,15,0.41579064926246573,0.4768560470261849,0.4113072243155534,0.4445910729374357,0.4719409469872013,0.49984583145855854,-0.18820148943672751,-0.14915406030744854,2000
yandun,raw25,7,811453,7,7,0.59010347851854,0.6255029137158772,0.5740944602649795,0.6203982392878665,0.6120950306348836,0.6588675391397963,0.0,0.0,2000
yandun,statistics9,7,811453,7,7,0.47307034470251624,0.4817403197344106,0.46204480584562746,0.4985548369878715,0.4553520475899727,0.523524842559067,-0.14149873507198568,-0.09345077829789677,2000
yandun,raw_pca6,7,811453,7,7,0.5881149375519549,0.6242514238973287,0.5730029805073972,0.6170981039425784,0.6109122541918459,0.6569840562297342,-0.003227042033420857,-0.0007486939304715865,2000
yandun,gaf_pca6,7,811453,7,7,0.26873942299562503,0.2542564163281206,0.2647423003514845,0.2879957464984228,0.25025535076731054,0.2755398746010632,-0.33842884653691957,-0.3039554955214523,2000
yandun,gaf_signed_pca6,7,811453,7,7,0.27129014602452933,0.25873530907062087,0.26702342123346334,0.2919647768968697,0.25525016479229784,0.2823694248929205,-0.33500350373096105,-0.3014301094066246,2000
yandun,event_row_permutation,7,811453,7,7,0.02558834670667039,0.006144654657972991,0.018645457957700756,0.04389453159375987,0.002421645863086395,0.029982459709201097,-0.5853720035105782,-0.5430820356496113,2000
yandun,within_event_time_permutation,7,811453,7,7,0.43837171537719105,0.5803825656934011,0.42450307803950044,0.47337617593079884,0.5638817532496256,0.6154663997586906,-0.16028091315007795,-0.1373574666924773,2000
yandun,covariate_conditional_row_permutation,7,811453,7,7,0.41579064926246573,0.4768560470261849,0.4140815976068424,0.44697970951540994,0.4736975444674655,0.5020806562459209,-0.19189507665531313,-0.15055369940007554,2000
yandun,raw25,14,811453,4,4,0.59010347851854,0.6255029137158772,0.5758307702932135,0.6237346484270064,0.611869577245268,0.6611612992922491,0.0,0.0,2000
yandun,statistics9,14,811453,4,4,0.47307034470251624,0.4817403197344106,0.46385321319906614,0.5041946827433623,0.4576510488227669,0.5333380574175398,-0.14282409267104185,-0.0858744755919918,2000
yandun,raw_pca6,14,811453,4,4,0.5881149375519549,0.6242514238973287,0.5740667237366682,0.6213346435769767,0.6105586332798811,0.6599813187007183,-0.00303807563126679,-0.0010007640654312588,2000
yandun,gaf_pca6,14,811453,4,4,0.26873942299562503,0.2542564163281206,0.2682800869159178,0.28767971255247127,0.253734525142018,0.2697139081364241,-0.3355737400019838,-0.30234259470186753,2000
yandun,gaf_signed_pca6,14,811453,4,4,0.27129014602452933,0.25873530907062087,0.2705150068242777,0.2914375831335211,0.2582203526512714,0.2762541652580097,-0.331815869420934,-0.29784508618775185,2000
yandun,event_row_permutation,14,811453,4,4,0.02558834670667039,0.006144654657972991,0.02558834670667039,0.03983916686092341,0.006144654657972991,0.02293010378948535,-0.5861630954933503,-0.541690846398282,2000
yandun,within_event_time_permutation,14,811453,4,4,0.43837171537719105,0.5803825656934011,0.4320294235927458,0.47597235501548124,0.5737592046148002,0.6149071022598855,-0.15524950061629056,-0.12705727533785643,2000
yandun,covariate_conditional_row_permutation,14,811453,4,4,0.41579064926246573,0.4768560470261849,0.4127196348197755,0.44916843491844816,0.47485347091164365,0.507884493298652,-0.18558727153417987,-0.14688346210681302,2000
pizhou_seen,raw25,3,214524,35,34,0.6512547788689798,0.6735648067260539,0.6439662553602328,0.6837565982087442,0.6575915827962515,0.7037084752544579,0.0,0.0,2000
pizhou_seen,statistics9,3,214524,35,34,0.5135735452333592,0.4929593531080381,0.505136827902634,0.5527887524129143,0.4867676967607289,0.5430791543126685,-0.15927643933954821,-0.1072706204165801,2000
pizhou_seen,raw_pca6,3,214524,35,34,0.6477556182062351,0.6692459579070917,0.6401342944529426,0.6814302807177891,0.6535048515314302,0.7002036625684258,-0.005175225724355001,-0.0012981684987749215,2000
pizhou_seen,gaf_pca6,3,214524,35,34,0.2749482678231954,0.24785341779955025,0.2724870015833999,0.32340436445534,0.24402005275424685,0.2924358755187641,-0.38786597716138554,-0.34271806979671765,2000
pizhou_seen,gaf_signed_pca6,3,214524,35,34,0.2768905177186201,0.25059479110025495,0.2741359294224611,0.3258667994131321,0.24715590551485497,0.2951033641324063,-0.3863956968133193,-0.3406633039016235,2000
pizhou_seen,event_row_permutation,3,214524,35,34,0.047626486349004585,0.021759338706702668,0.0442817159287002,0.08916633609358406,0.016397310745642452,0.059679093728802084,-0.6172377402321068,-0.5718735430011752,2000
pizhou_seen,within_event_time_permutation,3,214524,35,34,0.5358683747512963,0.6477089664748592,0.5290164592840666,0.5785782247267607,0.6166184665760401,0.6870494719254858,-0.1231465701303235,-0.097380488148177,2000
pizhou_seen,covariate_conditional_row_permutation,3,214524,35,34,0.5492800228266825,0.5810361363567855,0.5408095656346062,0.5802783412604547,0.572169236171411,0.6191127217082137,-0.12118147010341525,-0.08433712119789029,2000
pizhou_seen,raw25,7,214524,16,16,0.6512547788689798,0.6735648067260539,0.6465075304427216,0.6829471373012729,0.6563968782251608,0.7008108686594857,0.0,0.0,2000
pizhou_seen,statistics9,7,214524,16,16,0.5135735452333592,0.4929593531080381,0.5075089696317383,0.5497310797839271,0.49017663756733487,0.5423969564701215,-0.1574912268373774,-0.11229280755975107,2000
pizhou_seen,raw_pca6,7,214524,16,16,0.6477556182062351,0.6692459579070917,0.6425986175280923,0.6796712398800058,0.6536453522258339,0.696087927355577,-0.005201827642229451,-0.001461979518174753,2000
pizhou_seen,gaf_pca6,7,214524,16,16,0.2749482678231954,0.24785341779955025,0.2744199675650655,0.3239762527458958,0.2455811684616702,0.29319972213983697,-0.3834732810438011,-0.34334387147801493,2000
pizhou_seen,gaf_signed_pca6,7,214524,16,16,0.2768905177186201,0.25059479110025495,0.2756536520458191,0.32627143969675626,0.24823191795981003,0.29545870605012364,-0.38191392897501986,-0.34061565533022736,2000
