site,model,training,seed,price_case,shortfall_price,surplus_price,tail_premium,storage_fraction,duration_h,reserve,nameplate_mw,power_mw,energy_mwh,calendar_h,observed_h,operating_cny_per_installed_mw,capital_cny_per_installed_mw,total_cny_per_installed_mw,shortfall_mwh,surplus_mwh,throughput_mwh,tail_mwh,inventory_draw_mwh,initial_soc_mwh,terminal_soc_mwh
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.1,2.0,0.0,87.45,8.745000000000001,17.490000000000002,2496.0,1774.5,78631.1317974648,12281.26586368887,90912.39766115366,36.84953595074109,46.1629915064411,53.85181566848891,9.559616803350314,-0.030159408247432625,0.1,0.13015940824743263
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.1,4.0,0.0,87.45,8.745000000000001,34.980000000000004,2496.0,1774.5,64643.97454483467,22876.867785302802,87520.84233013747,29.50985160266955,38.10166797117528,69.25282355182688,7.828704788304693,-0.1101594082474326,0.2,0.3101594082474326
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.2,1.0,0.0,87.45,17.490000000000002,17.490000000000002,2496.0,1774.5,79582.21359701785,13966.929805763813,93549.14340278166,34.94315458268023,44.09083784550548,57.830350697485194,10.025015169433189,-0.030159408247432625,0.1,0.13015940824743263
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.2,2.0,0.0,87.45,17.490000000000002,34.980000000000004,2496.0,1774.5,49218.85222472223,24562.53172737774,73781.38395209996,23.93236699481164,32.03918470176448,80.8927914290947,5.548778102459957,-0.1101594082474326,0.2,0.3101594082474326
pizhou,tcn,mse,41,high,600.0,160.0,5000.0,0.2,4.0,0.0,87.45,17.490000000000002,69.96000000000001,2496.0,1774.5,35010.19668846089,45753.735570605604,80763.9322590665,15.392563859857786,22.753795195836297,98.7179840699768,3.940002222718351,-0.11303191376255141,0.4,0.5130319137625514
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.0,0.0,0.0,87.45,0.0,0.0,2496.0,1774.5,12803.891060386537,0.0,12803.891060386537,65.97610971855748,72.68686506507285,0.0,16.98848211717221,0.0,0.0,0.0
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.05,1.0,0.0,87.45,4.3725000000000005,4.3725000000000005,2496.0,1774.5,11360.2257579692,3491.7324514409534,14851.958209410155,55.75270120991723,61.57759174521839,21.332681828494607,15.006669338869777,0.0029995365350525415,0.025,0.02200046346494746
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.05,2.0,0.0,87.45,4.3725000000000005,8.745000000000001,2496.0,1774.5,10606.879367683088,6140.632931844435,16747.512299527523,50.466001754749264,55.81032785254306,32.3866451763384,13.05212693962706,-0.017000463464947456,0.05,0.06700046346494747
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.05,4.0,0.0,87.45,4.3725000000000005,17.490000000000002,2496.0,1774.5,9880.937453101795,11438.433892651401,21319.371345753196,45.41791666527227,50.281575959430604,42.963482158928585,11.695220015569557,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.1,1.0,0.0,87.45,8.745000000000001,8.745000000000001,2496.0,1774.5,10305.70142432103,6983.464902881907,17289.166327202936,48.33458861711015,53.49357444206596,36.83481172445414,13.323901801834902,-0.017000463464947456,0.05,0.06700046346494747
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.1,2.0,0.0,87.45,8.745000000000001,17.490000000000002,2496.0,1774.5,9109.04138240494,12281.26586368887,21390.30724609381,39.95526754957161,44.34391387714734,54.36379335691151,10.018080331989498,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.1,4.0,0.0,87.45,8.745000000000001,34.980000000000004,2496.0,1774.5,7997.091451449427,22876.867785302802,30873.959236752227,32.26478341946784,35.90128623097688,70.4969051331864,8.033728856198815,-0.13700046346494746,0.2,0.3370004634649475
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.2,1.0,0.0,87.45,17.490000000000002,17.490000000000002,2496.0,1774.5,8830.493157160889,13966.929805763813,22797.422962924702,37.98400318630603,42.20123522142393,58.477736375900314,10.530195151081116,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.2,2.0,0.0,87.45,17.490000000000002,34.980000000000004,2496.0,1774.5,7167.177979728645,24562.53172737774,31729.709707106387,26.39154961959786,29.51733644850954,82.75408871552278,5.519175203106966,-0.13700046346494746,0.2,0.3370004634649475
pizhou,tcn,mse,42,low,150.0,40.0,0.0,0.2,4.0,0.0,87.45,17.490000000000002,69.96000000000001,2496.0,1774.5,5912.0305410087985,45753.735570605604,51665.76611161439,17.61924734391957,19.930753793541122,101.11297364616975,3.7299758724674232,-0.1863701782500877,0.4,0.5863701782500877
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.0,0.0,0.0,87.45,0.0,0.0,2496.0,1774.5,29792.373177558748,0.0,29792.373177558748,65.97610971855748,72.68686506507285,0.0,16.98848211717221,0.0,0.0,0.0
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.05,1.0,0.0,87.45,4.3725000000000005,4.3725000000000005,2496.0,1774.5,26366.895096838976,3491.7324514409534,29858.62754827993,55.75270120991723,61.57759174521839,21.332681828494607,15.006669338869777,0.0029995365350525415,0.025,0.02200046346494746
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.05,2.0,0.0,87.45,4.3725000000000005,8.745000000000001,2496.0,1774.5,23659.00630731015,6140.632931844435,29799.639239154585,50.466001754749264,55.81032785254306,32.3866451763384,13.05212693962706,-0.017000463464947456,0.05,0.06700046346494747
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.05,4.0,0.0,87.45,4.3725000000000005,17.490000000000002,2496.0,1774.5,21576.157468671354,11438.433892651401,33014.59136132275,45.41791666527227,50.281575959430604,42.963482158928585,11.695220015569557,-0.05700046346494747,0.1,0.15700046346494748
