site,model,price_case,tail_premium,storage_fraction,duration_h,mean_difference,sd_difference,seeds,better_seeds,better_fraction
yandun,tcn,base,0.0,0.2,2.0,4900.935939058823,1349.0837647064095,3,0,0.0
yandun,tcn,base,0.0,0.2,4.0,5113.970405241013,1472.6403517723863,3,0,0.0
yandun,tcn,base,1000.0,0.0,0.0,3283.68805582037,1133.1246200627652,3,0,0.0
yandun,tcn,base,1000.0,0.05,1.0,3656.3359917263697,1183.217455773496,3,0,0.0
yandun,tcn,base,1000.0,0.05,2.0,3860.127497985404,1159.8309798001837,3,0,0.0
yandun,tcn,base,1000.0,0.05,4.0,3927.352286505806,1202.9876766958391,3,0,0.0
yandun,tcn,base,1000.0,0.1,1.0,3909.9177743551277,1193.066698311923,3,0,0.0
yandun,tcn,base,1000.0,0.1,2.0,4122.6633256476625,1221.7982511101914,3,0,0.0
yandun,tcn,base,1000.0,0.1,4.0,4315.066257278523,1332.6033932171438,3,0,0.0
yandun,tcn,base,1000.0,0.2,1.0,4193.52564806478,1192.5861304740206,3,0,0.0
yandun,tcn,base,1000.0,0.2,2.0,4319.8463816570065,1107.7211980426748,3,0,0.0
yandun,tcn,base,1000.0,0.2,4.0,4986.130735262496,1399.7139350962425,3,0,0.0
yandun,tcn,base,5000.0,0.0,0.0,508.26785500872455,1684.3567216689803,3,1,0.3333333333333333
yandun,tcn,base,5000.0,0.05,1.0,1082.744364676141,1659.1932573342224,3,1,0.3333333333333333
yandun,tcn,base,5000.0,0.05,2.0,1358.79992302902,1338.1729501113352,3,1,0.3333333333333333
yandun,tcn,base,5000.0,0.05,4.0,1526.6511311430513,1309.868043372085,3,0,0.0
yandun,tcn,base,5000.0,0.1,1.0,1409.7151598989997,1567.4977792770078,3,1,0.3333333333333333
yandun,tcn,base,5000.0,0.1,2.0,1753.0621302450697,1307.255503312869,3,0,0.0
yandun,tcn,base,5000.0,0.1,4.0,2222.7276233058133,1265.1125880130762,3,0,0.0
yandun,tcn,base,5000.0,0.2,1.0,1950.6883522997257,1397.4222611304451,3,0,0.0
yandun,tcn,base,5000.0,0.2,2.0,1995.488152049773,202.95587084488378,3,0,0.0
yandun,tcn,base,5000.0,0.2,4.0,4474.772055348431,1117.1839664319323,3,0,0.0
yandun,tcn,high,0.0,0.0,0.0,7955.08621204656,2257.7539739823583,3,0,0.0
yandun,tcn,high,0.0,0.05,1.0,8649.679349050422,2425.9382424385763,3,0,0.0
yandun,tcn,high,0.0,0.05,2.0,9050.074568233598,2461.870883046265,3,0,0.0
yandun,tcn,high,0.0,0.05,4.0,9140.767016042064,2565.4428380364357,3,0,0.0
