term,estimate,cluster_se,block_t_statistic,block_t_df,block_t_pvalue,bh_qvalue_block_t,legacy_normal_pvalue,legacy_normal_bh_qvalue
C(turbine)[T.HRPZ#07(F07)],0.11358109883777742,0.0732352733492476,1.5509070102889746,30,0.13141055484536535,0.21086809963558625,0.12092397019310779,0.1940407893796381
C(turbine)[T.HRPZ#08(F11)],0.11671666539727668,0.0830438600185351,1.4054821797930146,30,0.17015007275758487,0.24614082071144322,0.1598779447186509,0.2313888647359703
C(turbine)[T.HRPZ#09(F12)],0.1093752795084018,0.08298029688487032,1.3180873486166573,30,0.19745067743265268,0.2724819348570607,0.18747440912069901,0.25871468458656466
C(turbine)[T.HRPZ#10(F13)],0.0129006685503835,0.08214095083304572,0.15705526195581238,30,0.8762535460498311,0.9160832526884597,0.8752012957143,0.9149831727922227
C(turbine)[T.HRPZ#11(F08)],0.09544486436917601,0.06575199262252054,1.4515889262416883,30,0.1569941080740399,0.23795334550658534,0.14661593966860945,0.22240355221286048
C(turbine)[T.HRPZ#12(F09)],0.030298239130421862,0.07623920096694323,0.39741023969491707,30,0.6938785323689091,0.7722196569912052,0.6910649657428423,0.7690884296170342
C(turbine)[T.HRPZ#13(F10)],0.13697191231960082,0.07953713232940378,1.722112783150521,30,0.09534591588916122,0.16616809085512607,0.0850490898818127,0.14838406300639773
C(turbine)[T.HRPZ#14(F14)],0.16342547656543085,0.07651343949544384,2.1359055042240307,30,0.04096513306248237,0.08565436913064495,0.03268711687167981,0.06834578982260323
C(turbine)[T.HRPZ#15(F15)],0.102460199351622,0.07887342876917225,1.2990458377494634,30,0.2038240251205799,0.2757619163396081,0.19392819891221835,0.26237344558711895
C(turbine)[T.HRPZ#16(F16)],0.10820756434157384,0.0800527502148596,1.351703271294833,30,0.18657476667228945,0.262727732660979,0.17647025816814343,0.24849893497146727
C(turbine)[T.HRPZ#17(F17)],0.17815462317154926,0.07645231711704636,2.3302710746987496,30,0.026706931633842433,0.061425942757837595,0.019791828538889278,0.04552120563944534
C(turbine)[T.HRPZ#18(F18)],0.22595886103148538,0.08033704191578059,2.8126360598186317,30,0.008583468489079378,0.026920878443021688,0.004913723045144058,0.015411222277951818
C(turbine)[T.HRPZ#19(F19)],0.19370177003335723,0.07468514859035465,2.593578156961359,30,0.014546632566426907,0.03584705882440916,0.009498294788577345,0.023406512157565597
C(turbine)[T.HRPZ#20(F20)],0.23535635666857813,0.07677973063812393,3.0653449121598655,30,0.004569823365046984,0.01659567432569694,0.002174191038781921,0.007895746403997502
C(turbine)[T.HRPZ#21(S01)],0.2198434599331786,0.0821220543780782,2.677033125852536,30,0.011924707622896708,0.03291219303919491,0.007427729085743836,0.020500532276652987
C(turbine)[T.HRPZ#22(S02)],0.23186892741079837,0.0724798279406759,3.199082199816769,30,0.003246270769767402,0.012766927224835174,0.0013786585411004076,0.0054701191418569306
C(turbine)[T.HRPZ#23(S03)],0.13799325656137962,0.08037920952053118,1.7167779751072587,30,0.09632932803195715,0.16616809085512607,0.0860197466703755,0.14838406300639773
C(turbine)[T.HRPZ#24(S06)],0.07377297313198505,0.06946062867909929,1.0620832914255403,30,0.29667329957325295,0.3721901394646264,0.2881978746488061,0.3615573336503204
C(turbine)[T.HRPZ#25(S07)],0.17386428164978096,0.06607261869211109,2.631411999272551,30,0.013297937252810196,0.03398361742384828,0.008503088510482775,0.02173011508234487
C(turbine)[T.HRPZ#26(S15)],0.07582358918627194,0.07866768400478731,0.9638467198507802,30,0.34282834062932205,0.4150027281302319,0.3351227794337014,0.40567494352500694
C(turbine)[T.HRPZ#27(S08)],0.10302879308787385,0.08717147668451752,1.181909461746823,30,0.2465256800734387,0.31500503564939386,0.2372416272654302,0.3031420792836052
C(turbine)[T.HRPZ#28(S09)],0.17295854831093446,0.08415711458739843,2.055186292435376,30,0.048657565652688875,0.09874623617751566,0.039861014597806554,0.08089441197790154
C(turbine)[T.HRPZ#29(S10)],0.10896662611391775,0.07308759731926086,1.49090447778616,30,0.14642729871176316,0.22962462752526497,0.13598657559711347,0.2132516753682007
C(turbine)[T.HRPZ#30(S11)],0.10487879399084721,0.07481565621050218,1.4018295007098387,30,0.17122839701665615,0.24614082071144322,0.16096616677284892,0.2313888647359703
C(turbine)[T.HRPZ#31(S12)],0.17881062277199422,0.08163962614222921,2.1902430378659217,30,0.03641572012393674,0.07852139651723859,0.028506615496962023,0.06146738966532436
C(turbine)[T.HRPZ#32(S13)],0.2211063953127422,0.0805761994852026,2.744065824962956,30,0.010144869609904456,0.02916650012847531,0.0060683368397339895,0.01744646841423522
C(turbine)[T.HRPZ#33(S14)],0.21817647122208375,0.06413487765793893,3.4018381135100957,30,0.0019143153237678415,0.008805850489332072,0.0006693427421030491,0.003078976613674026
a,0.3323105555324449,0.11456854751495395,2.9005391334743975,30,0.00691065824417085,0.022706448516561364,0.0037252131970523807,0.012239986218886393
pre_power4,0.28408465995938853,0.10768394423297634,2.6381338646434216,30,0.013086771736007093,0.03398361742384828,0.008336366700906442,0.02173011508234487
pre_speed4,0.22440902623320644,0.059057703948684794,3.7998264617296216,30,0.0006598691496832327,0.0035023824098571583,0.00014479744919628428,0.0007685403072725858
pre_change4,-0.03675276949731601,0.0610345022571604,-0.6021638276406895,30,0.5515895678397467,0.6343280030157087,0.5470650911313665,0.6291248548010715
pre_sin,0.02731434833664648,0.11996975199772351,0.2276769592485678,30,0.8214419804589319,0.8719922561794816,0.8198973858926086,0.8703526096398461
pre_cos,0.18467909519579764,0.1046519992159717,1.7646972497359843,30,0.08779492143594493,0.16372566429946486,0.07761466106371356,0.14474085441611448
