site,cutoff,method,config_a,config_b,pairs,nmi,ari,mean_iou,left_n,right_n,left_coverage,right_coverage
hill,0.3,greedy,adaptive_corridor,threshold_4h,803,0.2392406207114996,0.31251984961113183,0.45009524933222617,8032,3280,0.09997509960159362,0.2448170731707317
hill,0.3,maximum_iou,adaptive_corridor,threshold_4h,813,0.23784159257598533,0.3120820272959752,0.4483915760949201,8032,3280,0.10122011952191234,0.24786585365853658
hill,0.5,greedy,adaptive_corridor,threshold_4h,257,0.3439744143913486,0.4052337646351302,0.6252045245007021,8032,3280,0.031997011952191234,0.07835365853658537
hill,0.5,maximum_iou,adaptive_corridor,threshold_4h,257,0.3557612441493528,0.41816181249772827,0.6252045245007021,8032,3280,0.031997011952191234,0.07835365853658537
hill,0.7,greedy,adaptive_corridor,threshold_4h,72,0.5507420124665764,0.6338618248270195,0.8183178976071134,8032,3280,0.008964143426294821,0.02195121951219512
hill,0.7,maximum_iou,adaptive_corridor,threshold_4h,72,0.5507420124665764,0.6338618248270195,0.8183178976071134,8032,3280,0.008964143426294821,0.02195121951219512
hill,0.3,greedy,endpoint_corridor_0.025,endpoint_corridor_0.050,7483,0.9312882047179116,0.968169758974458,0.9516637712147533,7740,8585,0.966795865633075,0.8716365754222481
hill,0.3,maximum_iou,endpoint_corridor_0.025,endpoint_corridor_0.050,7483,0.9375075912447638,0.9726969517208494,0.9516637712147533,7740,8585,0.966795865633075,0.8716365754222481
hill,0.5,greedy,endpoint_corridor_0.025,endpoint_corridor_0.050,7439,0.9333931902222337,0.9692925400372947,0.9552941703634001,7740,8585,0.9611111111111111,0.8665113570180547
hill,0.5,maximum_iou,endpoint_corridor_0.025,endpoint_corridor_0.050,7439,0.9393153331734725,0.9735933946948276,0.9552941703634001,7740,8585,0.9611111111111111,0.8665113570180547
hill,0.7,greedy,endpoint_corridor_0.025,endpoint_corridor_0.050,6725,0.9964283274330572,0.9990645896459202,0.998557620817844,7740,8585,0.8688630490956072,0.7833430401863716
hill,0.7,maximum_iou,endpoint_corridor_0.025,endpoint_corridor_0.050,6725,0.9964283274330572,0.9990645896459202,0.998557620817844,7740,8585,0.8688630490956072,0.7833430401863716
hill,0.3,greedy,endpoint_corridor_0.025,endpoint_corridor_0.100,7003,0.8489370748604057,0.911903476168632,0.8345980974140335,7740,8952,0.904780361757106,0.7822832886505808
hill,0.3,maximum_iou,endpoint_corridor_0.025,endpoint_corridor_0.100,7003,0.8484288554171356,0.9154850606155019,0.8345980974140335,7740,8952,0.904780361757106,0.7822832886505808
hill,0.5,greedy,endpoint_corridor_0.025,endpoint_corridor_0.100,6622,0.8581190263998986,0.9192865459394993,0.8628590125267867,7740,8952,0.8555555555555555,0.7397229669347631
hill,0.5,maximum_iou,endpoint_corridor_0.025,endpoint_corridor_0.100,6622,0.8582913107644838,0.9226942740804328,0.8628590125267867,7740,8952,0.8555555555555555,0.7397229669347631
hill,0.7,greedy,endpoint_corridor_0.025,endpoint_corridor_0.100,4695,0.9925499360199113,0.9977499670592316,0.9978802170495462,7740,8952,0.6065891472868217,0.5244638069705094
hill,0.7,maximum_iou,endpoint_corridor_0.025,endpoint_corridor_0.100,4695,0.9925499360199113,0.9977499670592316,0.9978802170495462,7740,8952,0.6065891472868217,0.5244638069705094
hill,0.3,greedy,endpoint_corridor_0.025,financial_tail_1h,1817,0.6902264446577311,0.7751292629819084,0.5443542469271694,7740,2177,0.2347545219638243,0.8346348185576481
