site,model,seed,price_case,tail_premium,regime,mse_test_total_cny_per_installed_mw,event_weighted_test_total_cny_per_installed_mw,event_weighted_minus_mse_cny_per_installed_mw,mse_test_mse_pu2,event_weighted_test_mse_pu2,mse_weighted_mse_pu2,event_weighted_weighted_mse_pu2
yandun,tcn,41,low,0.0,unconstrained,6573.194787212407,8259.567262145261,1686.372474932854,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,low,0.0,at_least_10pct_2h,9510.178495042926,11470.992801512904,1960.814306469978,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,low,1000.0,unconstrained,15049.764764625797,16337.869289913364,1288.1045252875665,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,low,1000.0,at_least_10pct_2h,14295.621006458468,15888.666133970548,1593.0451275120795,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,low,5000.0,unconstrained,33437.391052120634,33559.35946380111,121.96841168047831,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,low,5000.0,at_least_10pct_2h,33437.391052120634,33559.35946380111,121.96841168047831,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,base,0.0,unconstrained,13146.389574424815,16519.134524290523,3372.744949865708,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,base,0.0,at_least_10pct_2h,13915.802698831245,17938.763680338754,4022.960981507509,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,base,1000.0,unconstrained,21622.959551838205,24597.436552058625,2974.4770002204205,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,base,1000.0,at_least_10pct_2h,18701.24521024679,22356.437012796396,3655.191802549605,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,base,5000.0,unconstrained,31399.290531231538,40027.13034262696,8627.83981139542,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,base,5000.0,at_least_10pct_2h,31399.290531231538,40027.13034262696,8627.83981139542,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,high,0.0,unconstrained,26292.77914884963,33038.269048581045,6745.489899731416,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
