site,config,candidate_events,matched_events,coverage,unmatched_events,matched_duration_hours_median,unmatched_duration_hours_median,matched_amplitude_median,unmatched_amplitude_median,matched_power_range_median,unmatched_power_range_median,matched_power_start_median,unmatched_power_start_median,matched_direction_median,unmatched_direction_median
lahaute,threshold_2h,1060,1016,0.9584905660377359,44,2.5,2.0,0.1110951113821138,0.18791788520325198,0.32086097479674797,0.2271967398373984,0.4027121951219511,0.38229105528455287,1.0,1.0
lahaute,threshold_4h,812,696,0.8571428571428571,116,5.5,4.5,-0.0289650560975609,0.1913837422764228,0.4098812983739838,0.2776211382113821,0.38131788699186997,0.30181382032520326,-1.0,1.0
pizhou,adaptive_corridor,9769,9696,0.9925273825365953,73,1.0,2.0,0.2000217180485624,-0.2031530033466761,0.31739851967491745,0.2486406901094373,0.5354561071240624,0.4648251403125928,1.0,-1.0
pizhou,endpoint_corridor_0.025,9274,9048,0.9756307957731292,226,0.5,0.5,-0.20217362918689924,-0.21842034658693577,0.271258679481033,0.2423184359499585,0.5601121770972453,0.6109047169235254,-1.0,-1.0
pizhou,endpoint_corridor_0.050,10613,10504,0.9897295769339489,109,0.5,1.5,-0.2044382063084601,-0.206556267099818,0.2856803333672226,0.221323705376986,0.544737131236755,0.3802418568196822,-1.0,-1.0
pizhou,endpoint_corridor_0.100,10493,10377,0.9889450109596875,116,1.0,1.5,-0.2029935134518698,0.0001368871466219529,0.3243636340484821,0.22568097166287127,0.5393579995530616,0.37465545723327176,-1.0,0.0
pizhou,financial_tail_1h,1030,1014,0.9844660194174757,16,1.0,1.0,-0.1961542680709678,-0.16085950922269227,0.43811479435852546,0.1789581123878117,0.5824726564965311,0.636405902456483,-1.0,-1.0
pizhou,financial_tail_2h,708,707,0.998587570621469,1,2.5,2.5,-0.2792279066843696,0.5789737411057645,0.5597375401676742,0.5789737411057645,0.5910118933240004,0.2016573828892671,-1.0,1.0
pizhou,financial_tail_4h,496,492,0.9919354838709677,4,4.5,5.5,-0.3307729971059906,-0.023385135218186345,0.7151653888994634,0.31532414804206904,0.6686356222256076,0.42771141761902653,-1.0,0.0
pizhou,mean_shift_1h,5717,5712,0.9991254154276719,5,2.0,3.5,-0.12585273408177283,-0.6443242612293234,0.4471067615660212,0.6978035456875209,0.5654715956495275,0.9303895196584926,-1.0,-1.0
