site,config_a,config_b,pairs,left_candidates,right_candidates,left_coverage,right_coverage,mean_iou,iou_ge_030,iou_ge_050,iou_ge_070
pizhou,endpoint_corridor_0.025,opsda_cui2015_1h_0.025,3317,9274,4452,0.35766659478110846,0.745058400718778,0.5,1.0,1.0,0.0
pizhou,endpoint_corridor_0.025,opsda_cui2015_2h_0.025,4037,9274,8674,0.4353029976277766,0.46541388056260086,0.5324498389893485,1.0,1.0,0.0242754520683676
pizhou,endpoint_corridor_0.025,opsda_cui2015_4h_0.025,3740,9274,13284,0.403277981453526,0.28154170430593195,0.5347386681945505,1.0,1.0,0.031016042780748664
pizhou,endpoint_corridor_0.025,sda_florita2013_0.025,4335,9274,7304,0.4674358421393142,0.5935104052573932,0.5338331410995771,1.0,1.0,0.029988465974625143
pizhou,endpoint_corridor_0.025,threshold_1h,3769,9274,8396,0.4064050032348501,0.44890424011434016,0.6891584227217021,1.0,1.0,0.3337755372777925
pizhou,endpoint_corridor_0.025,threshold_2h,521,9274,6346,0.05617856372654734,0.08209895997478726,0.6033086555159491,1.0,1.0,0.26103646833013433
pizhou,endpoint_corridor_0.025,threshold_4h,6,9274,3539,0.0006469700237222342,0.0016953941791466515,0.5793350168350169,1.0,1.0,0.16666666666666666
pizhou,endpoint_corridor_0.050,endpoint_corridor_0.100,8293,10613,10493,0.7814001696033167,0.7903364147526922,0.8439178089485577,1.0,1.0,0.673218376944411
pizhou,endpoint_corridor_0.050,financial_tail_1h,698,10613,1030,0.06576839724865731,0.6776699029126214,0.7227793696275072,1.0,1.0,0.40257879656160456
pizhou,endpoint_corridor_0.050,financial_tail_2h,180,10613,708,0.016960331668708188,0.2542372881355932,0.5913492063492064,1.0,1.0,0.24444444444444444
pizhou,endpoint_corridor_0.050,financial_tail_4h,14,10613,496,0.0013191369075661924,0.028225806451612902,0.5930555555555557,1.0,1.0,0.21428571428571427
pizhou,endpoint_corridor_0.050,mean_shift_1h,2254,10613,5717,0.21238104211815698,0.39426272520552735,0.6352811932226308,1.0,1.0,0.20008873114463177
pizhou,endpoint_corridor_0.050,mean_shift_2h,123,10613,3316,0.011589559973617262,0.037092882991556095,0.5925364157071472,1.0,1.0,0.18699186991869918
