site,conditioning,representation,strata,defined_strata,strata_n_ge_30,both_constant_strata,one_side_constant_strata,original_matched_pairs,retained_pairs,retained_pair_fraction,catalogue_left_views,catalogue_right_views,conditional_left_coverage,conditional_right_coverage,scored_pairs_n_ge_30,scored_fraction_of_retained,equal_stratum_nmi_n_ge_30,equal_stratum_ari_n_ge_30,median_nmi_n_ge_30,median_ari_n_ge_30,pair_weighted_nmi_n_ge_30,pair_weighted_ari_n_ge_30
lahaute,joint_all_four,gaf_signed_pca6,5345,1606,53,215,110,34042,14783,0.4342576816873274,107510,105194,0.13750348804762347,0.1405308287544917,1958,0.1324494351620104,0.9460736698551998,0.9394498609065689,1.0,1.0,0.9501393318098234,0.9444717285412912
lahaute,joint_all_four,raw25,5345,563,38,1258,96,34042,14783,0.4342576816873274,107510,105194,0.13750348804762347,0.1405308287544917,1435,0.09707095988635595,0.9609834903704103,0.9711631169037324,1.0,1.0,0.9636824578208741,0.9734003763189877
lahaute,joint_all_four,raw_pca6,5345,567,38,1254,94,34042,14783,0.4342576816873274,107510,105194,0.13750348804762347,0.1405308287544917,1435,0.09707095988635595,0.9592456544754832,0.9687695669783537,1.0,1.0,0.9621177999977062,0.9712453473966262
lahaute,joint_all_four,statistics9,5345,645,22,1176,70,34042,14783,0.4342576816873274,107510,105194,0.13750348804762347,0.1405308287544917,826,0.055874991544341474,0.9874611269057209,0.9896278218425869,1.0,1.0,0.9886451851398054,0.990607276922827
lahaute,joint_all_four,within_event_time_permutation,5345,763,38,1058,285,34042,14783,0.4342576816873274,107510,105194,0.13750348804762347,0.1405308287544917,1446,0.09781505783670433,0.1300915775756342,0.10324771913205522,0.12652227708389896,0.10712310692689214,0.13023546784771817,0.1081491214656509
lahaute,power_start,event_row_permutation,475,441,284,2,14,34042,30788,0.9044121966981964,107510,105194,0.286373360617617,0.29267828963629106,28646,0.9304274392620502,0.05120193608541548,0.002812163215186219,0.04025766124256535,-0.00477103792159695,0.039088265367928005,0.0003983017761357239
lahaute,power_start,gaf_pca6,475,436,284,7,15,34042,30788,0.9044121966981964,107510,105194,0.286373360617617,0.29267828963629106,28646,0.9304274392620502,0.3708249469094489,0.31052331881837814,0.3067293957245437,0.22967405446360376,0.4059528585286939,0.361733259526605
lahaute,power_start,gaf_signed_pca6,475,436,284,7,14,34042,30788,0.9044121966981964,107510,105194,0.286373360617617,0.29267828963629106,28646,0.9304274392620502,0.3716135332197626,0.3126489695623681,0.3041454468869136,0.22867892772273635,0.40692989661101636,0.3645509133290801
lahaute,power_start,raw25,475,338,258,105,23,34042,30788,0.9044121966981964,107510,105194,0.286373360617617,0.29267828963629106,27463,0.8920033779394569,0.6661108483841445,0.683547252419701,0.7530262863084416,0.8350762624126824,0.6882099511887835,0.7108360328106553
lahaute,power_start,raw_pca6,475,338,258,105,23,34042,30788,0.9044121966981964,107510,105194,0.286373360617617,0.29267828963629106,27463,0.8920033779394569,0.6672406063596812,0.6817078248136667,0.7509927289378235,0.8328280185019576,0.6888153913399223,0.7091305195602631
lahaute,power_start,statistics9,475,420,284,23,32,34042,30788,0.9044121966981964,107510,105194,0.286373360617617,0.29267828963629106,28646,0.9304274392620502,0.560906338620254,0.6360006415067543,0.5717339270554663,0.6809270207371129,0.594226430500076,0.6815481349592203
lahaute,power_start,within_event_time_permutation,475,342,262,101,26,34042,30788,0.9044121966981964,107510,105194,0.286373360617617,0.29267828963629106,27622,0.8971677276861115,0.5813643718783024,0.6262430739680352,0.7079106168245352,0.859554936772532,0.5545268102006374,0.5975010849038612
pizhou,amplitude_abs,event_row_permutation,494,431,313,1,14,274570,169991,0.6191171650216702,861737,815639,0.19726552300759978,0.20841450690808067,168607,0.9918583925031326,0.02167178463105327,-0.0009464928690976443,0.0101729040757348,-0.0008225117854755,0.007528295190190766,-5.406270120570501e-05
pizhou,amplitude_abs,gaf_pca6,494,431,313,1,14,274570,169991,0.6191171650216702,861737,815639,0.19726552300759978,0.20841450690808067,168607,0.9918583925031326,0.43236241860606045,0.4330432923149859,0.3704816448071459,0.3648211961485989,0.565644775805711,0.580998371201794
pizhou,amplitude_abs,gaf_signed_pca6,494,431,313,1,14,274570,169991,0.6191171650216702,861737,815639,0.19726552300759978,0.20841450690808067,168607,0.9918583925031326,0.43414308835583804,0.4356225360903812,0.3704816448071459,0.381609042097807,0.5677450519315399,0.5837745447203637
pizhou,amplitude_abs,raw25,494,427,313,5,3,274570,169991,0.6191171650216702,861737,815639,0.19726552300759978,0.20841450690808067,168607,0.9918583925031326,0.7616352657267851,0.797758327309919,0.7589331915050391,0.818715284439244,0.837056015601432,0.8763280838566394
pizhou,amplitude_abs,raw_pca6,494,427,313,5,3,274570,169991,0.6191171650216702,861737,815639,0.19726552300759978,0.20841450690808067,168607,0.9918583925031326,0.7592252160107821,0.7950756951646559,0.7585628877869633,0.8183038858019119,0.8358285484234081,0.875064262046174
pizhou,amplitude_abs,statistics9,494,410,310,22,23,274570,169991,0.6191171650216702,861737,815639,0.19726552300759978,0.20841450690808067,168513,0.9913054220517556,0.7116821526728032,0.7592029426094582,0.7161108932118736,0.8092749162063917,0.8113601439017725,0.8579800360997288
pizhou,amplitude_abs,within_event_time_permutation,494,427,313,5,5,274570,169991,0.6191171650216702,861737,815639,0.19726552300759978,0.20841450690808067,168607,0.9918583925031326,0.6240081093863766,0.7281368082302804,0.637288154252725,0.7488423304204096,0.6239864163591156,0.7469837235883495
pizhou,direction,event_row_permutation,253,244,218,2,1,274570,271655,0.989383399497396,861737,815639,0.31524119307863074,0.33305788467692204,271335,0.9988220353021295,0.017744935076094585,-0.0004943708253464881,0.0046249669332851,-0.0005765562938804499,0.0034669733923499684,-9.097204724630097e-05
pizhou,direction,gaf_pca6,253,245,218,1,7,274570,271655,0.989383399497396,861737,815639,0.31524119307863074,0.33305788467692204,271335,0.9988220353021295,0.27864179848878184,0.2644410894291939,0.2295157941249258,0.2151375613958536,0.38853572511086804,0.3944640323956678
pizhou,direction,gaf_signed_pca6,253,245,218,1,7,274570,271655,0.989383399497396,861737,815639,0.31524119307863074,0.33305788467692204,271335,0.9988220353021295,0.2816328737424723,0.26880003662000657,0.2338939617355809,0.22080997372883965,0.39083152597777027,0.3985259514605203
pizhou,direction,raw25,253,240,216,6,27,274570,271655,0.989383399497396,861737,815639,0.31524119307863074,0.33305788467692204,271192,0.9982956323277686,0.15485252626572102,0.19130469359330787,0.060407475262755306,0.08023684099033371,0.28862314622698926,0.36262399686369434
pizhou,direction,raw_pca6,253,242,218,4,29,274570,271655,0.989383399497396,861737,815639,0.31524119307863074,0.33305788467692204,271335,0.9988220353021295,0.154352160163878,0.1906298904583535,0.0614682318072641,0.07906281996005621,0.2885855117020389,0.36179313418683895
pizhou,direction,statistics9,253,242,218,4,7,274570,271655,0.989383399497396,861737,815639,0.31524119307863074,0.33305788467692204,271335,0.9988220353021295,0.42352936735848024,0.44119151836895454,0.4188677521115078,0.4260798998875692,0.5271118816554422,0.5772003718524522
pizhou,direction,within_event_time_permutation,253,238,216,8,24,274570,271655,0.989383399497396,861737,815639,0.31524119307863074,0.33305788467692204,271192,0.9982956323277686,0.07530714398986363,0.11840146731445113,0.026734355123386948,0.0603447825052954,0.1114701638827457,0.20074219255943046
pizhou,duration_hours,event_row_permutation,324,179,147,1,3,274570,151737,0.5526350293185709,861737,815639,0.17608272593610347,0.18603450791342738,151375,0.9976142931519669,0.015588111114528635,3.775336323011055e-05,0.0075175257851632,-0.0008079597088242,0.004038039267455278,-0.0004257059231032906
pizhou,duration_hours,gaf_pca6,324,178,147,2,4,274570,151737,0.5526350293185709,861737,815639,0.17608272593610347,0.18603450791342738,151375,0.9976142931519669,0.5254246138924437,0.5217495748801407,0.3597183813209679,0.372111846946284,0.6423983686159707,0.643731545916168
