group,site,config_a,config_b,representation,legacy_matched_pairs,legacy_nmi_sklearn,legacy_ari_sklearn,metric_status,stored_pairs,stored_nmi,stored_ari,nmi_abs_diff,ari_abs_diff
suining,suining,mean_shift_1h,opsda_cui2015_4h_0.025,raw25,585,0.7532504521280028,0.8029239516193296,VALID,585,0.7532504521280033,0.8029239516193296,5.551115123125783e-16,0.0
suining,suining,mean_shift_1h,opsda_cui2015_4h_0.025,statistics9,585,0.9134323091217688,0.9501863273030048,VALID,585,0.913432309121769,0.9501863273030048,2.220446049250313e-16,0.0
suining,suining,mean_shift_1h,opsda_cui2015_4h_0.025,raw_pca6,585,0.7499906990572249,0.8006025219883607,VALID,585,0.7499906990572249,0.8006025219883607,0.0,0.0
suining,suining,mean_shift_1h,opsda_cui2015_4h_0.025,gaf_pca6,585,0.34092612946710155,0.34245567746895283,VALID,585,0.3409261294671011,0.3424556774689529,4.440892098500626e-16,5.551115123125783e-17
suining,suining,mean_shift_1h,opsda_cui2015_4h_0.025,gaf_signed_pca6,585,0.3307893589302661,0.34090408010516887,VALID,585,0.3307893589302658,0.3409040801051688,3.3306690738754696e-16,5.551115123125783e-17
suining,suining,mean_shift_1h,opsda_cui2015_4h_0.025,event_row_permutation,585,0.0015860586803447129,-0.003934006076504896,VALID,585,0.0015860586803443,-0.0039340060765048,4.128641872824801e-16,9.540979117872439e-17
suining,suining,mean_shift_1h,opsda_cui2015_4h_0.025,within_event_time_permutation,585,0.6248015939796433,0.715724090751601,VALID,585,0.6248015939796432,0.7157240907516009,1.1102230246251565e-16,1.1102230246251565e-16
suining,suining,mean_shift_1h,sda_florita2013_0.025,raw25,180,0.7128078779233229,0.7926502743321714,VALID,180,0.7128078779233221,0.7926502743321714,7.771561172376096e-16,0.0
suining,suining,mean_shift_1h,sda_florita2013_0.025,statistics9,180,0.9446782057939482,0.965004975697653,VALID,180,0.9446782057939483,0.965004975697653,1.1102230246251565e-16,0.0
suining,suining,mean_shift_1h,sda_florita2013_0.025,raw_pca6,180,0.7079206891912997,0.7874479262508681,VALID,180,0.7079206891912992,0.7874479262508681,4.440892098500626e-16,0.0
suining,suining,mean_shift_1h,sda_florita2013_0.025,gaf_pca6,180,0.21135806151483155,0.09225653405669221,VALID,180,0.2113580615148317,0.0922565340566922,1.3877787807814457e-16,1.3877787807814457e-17
suining,suining,mean_shift_1h,sda_florita2013_0.025,gaf_signed_pca6,180,0.21724942183420304,0.0959693388039259,VALID,180,0.217249421834203,0.0959693388039259,2.7755575615628914e-17,0.0
suining,suining,mean_shift_1h,sda_florita2013_0.025,event_row_permutation,180,0.020560940473077133,0.01525612150164449,VALID,180,0.0205609404730774,0.0152561215016445,2.671474153004283e-16,8.673617379884035e-18
suining,suining,mean_shift_1h,sda_florita2013_0.025,within_event_time_permutation,180,0.6481544492179406,0.7578818510505457,VALID,180,0.6481544492179409,0.7578818510505457,2.220446049250313e-16,0.0
suining,suining,mean_shift_1h,threshold_1h,raw25,956,0.8276683708622697,0.8873302301558347,VALID,956,0.8276683708622696,0.8873302301558347,1.1102230246251565e-16,0.0
suining,suining,mean_shift_1h,threshold_1h,statistics9,956,0.9386056380137956,0.9634254636163794,VALID,956,0.938605638013796,0.9634254636163794,4.440892098500626e-16,0.0
suining,suining,mean_shift_1h,threshold_1h,raw_pca6,956,0.8163961911571852,0.8782947532720591,VALID,956,0.8163961911571854,0.8782947532720591,2.220446049250313e-16,0.0
suining,suining,mean_shift_1h,threshold_1h,gaf_pca6,956,0.5679086133472087,0.6135258983556822,VALID,956,0.567908613347209,0.6135258983556822,3.3306690738754696e-16,0.0
suining,suining,mean_shift_1h,threshold_1h,gaf_signed_pca6,956,0.5679926845327014,0.6169892334183814,VALID,956,0.5679926845327016,0.6169892334183814,2.220446049250313e-16,0.0
suining,suining,mean_shift_1h,threshold_1h,event_row_permutation,956,0.008397110035218895,-0.004423082262943193,VALID,956,0.0083971100352195,-0.0044230822629431,6.054184931159057e-16,9.367506770274758e-17
suining,suining,mean_shift_1h,threshold_1h,within_event_time_permutation,956,0.6545640170169795,0.7718699050142881,VALID,956,0.6545640170169791,0.7718699050142881,4.440892098500626e-16,0.0
suining,suining,mean_shift_1h,threshold_2h,raw25,325,0.650417649519382,0.6594515211122138,VALID,325,0.6504176495193821,0.6594515211122138,1.1102230246251565e-16,0.0
suining,suining,mean_shift_1h,threshold_2h,statistics9,325,0.6739961887184928,0.7379363975382885,VALID,325,0.673996188718493,0.7379363975382885,2.220446049250313e-16,0.0
suining,suining,mean_shift_1h,threshold_2h,raw_pca6,325,0.6504005550714921,0.659196340968307,VALID,325,0.6504005550714924,0.6591963409683071,3.3306690738754696e-16,1.1102230246251565e-16
suining,suining,mean_shift_1h,threshold_2h,gaf_pca6,325,0.3654425585348482,0.3804958906727439,VALID,325,0.365442558534848,0.3804958906727439,1.6653345369377348e-16,0.0
suining,suining,mean_shift_1h,threshold_2h,gaf_signed_pca6,325,0.36282917732446557,0.37457904140266246,VALID,325,0.3628291773244656,0.3745790414026624,5.551115123125783e-17,5.551115123125783e-17
suining,suining,mean_shift_1h,threshold_2h,event_row_permutation,325,0.003514247078966358,0.00011521817881253389,VALID,325,0.0035142470789665,0.0001152181788125,1.4181364416110398e-16,3.389487041732808e-17
suining,suining,mean_shift_1h,threshold_2h,within_event_time_permutation,325,0.5509224919505346,0.6404952812162197,VALID,325,0.5509224919505342,0.6404952812162197,3.3306690738754696e-16,0.0
suining,suining,mean_shift_1h,threshold_4h,raw25,4,0.0,0.0,VALID_ONE_SIDE_CONSTANT,4,0.0,0.0,0.0,0.0
suining,suining,mean_shift_1h,threshold_4h,statistics9,4,,,DEGENERATE_BOTH_CONSTANT,4,1.0,1.0,,
suining,suining,mean_shift_1h,threshold_4h,raw_pca6,4,0.0,0.0,VALID_ONE_SIDE_CONSTANT,4,0.0,0.0,0.0,0.0
suining,suining,mean_shift_1h,threshold_4h,gaf_pca6,4,0.0,0.0,VALID_ONE_SIDE_CONSTANT,4,0.0,0.0,0.0,0.0
suining,suining,mean_shift_1h,threshold_4h,gaf_signed_pca6,4,0.0,0.0,VALID_ONE_SIDE_CONSTANT,4,0.0,0.0,0.0,0.0
suining,suining,mean_shift_1h,threshold_4h,event_row_permutation,4,1.0,1.0,VALID,4,1.0,1.0,0.0,0.0
suining,suining,mean_shift_1h,threshold_4h,within_event_time_permutation,4,0.0,0.0,VALID_ONE_SIDE_CONSTANT,4,0.0,0.0,0.0,0.0
suining,suining,mean_shift_2h,mean_shift_4h,raw25,49,0.5509817088201769,0.4255405318990202,VALID,49,0.5509817088201772,0.4255405318990202,2.220446049250313e-16,0.0
suining,suining,mean_shift_2h,mean_shift_4h,statistics9,49,0.1270941872424702,0.06541743349506442,VALID,49,0.1270941872424699,0.0654174334950644,3.0531133177191805e-16,1.3877787807814457e-17
suining,suining,mean_shift_2h,mean_shift_4h,raw_pca6,49,0.5509817088201768,0.4255405318990202,VALID,49,0.550981708820177,0.4255405318990202,2.220446049250313e-16,0.0
suining,suining,mean_shift_2h,mean_shift_4h,gaf_pca6,49,0.24049485094591744,0.30619469026548674,VALID,49,0.2404948509459175,0.3061946902654867,5.551115123125783e-17,5.551115123125783e-17
suining,suining,mean_shift_2h,mean_shift_4h,gaf_signed_pca6,49,0.2753290201042902,0.3694436267294672,VALID,49,0.2753290201042904,0.3694436267294672,1.6653345369377348e-16,0.0
suining,suining,mean_shift_2h,mean_shift_4h,event_row_permutation,49,0.03164574815055917,-0.03564186554359694,VALID,49,0.0316457481505595,-0.0356418655435969,3.2612801348363973e-16,4.163336342344337e-17
suining,suining,mean_shift_2h,mean_shift_4h,within_event_time_permutation,49,0.3101934991934222,0.29162833486660533,VALID,49,0.3101934991934222,0.2916283348666053,0.0,5.551115123125783e-17
suining,suining,mean_shift_2h,opsda_cui2015_2h_0.025,raw25,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_2h,opsda_cui2015_2h_0.025,statistics9,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_2h,opsda_cui2015_2h_0.025,raw_pca6,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_2h,opsda_cui2015_2h_0.025,gaf_pca6,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_2h,opsda_cui2015_2h_0.025,gaf_signed_pca6,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_2h,opsda_cui2015_2h_0.025,event_row_permutation,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_2h,opsda_cui2015_2h_0.025,within_event_time_permutation,0,,,INSUFFICIENT_SUPPORT,-1,,,,
suining,suining,mean_shift_2h,opsda_cui2015_4h_0.025,raw25,129,0.6021331279144713,0.5612480811330894,VALID,129,0.6021331279144715,0.5612480811330894,2.220446049250313e-16,0.0
suining,suining,mean_shift_2h,opsda_cui2015_4h_0.025,statistics9,129,0.6722944755589323,0.5745606814298932,VALID,129,0.6722944755589323,0.5745606814298932,0.0,0.0
suining,suining,mean_shift_2h,opsda_cui2015_4h_0.025,raw_pca6,129,0.6021331279144713,0.5612480811330894,VALID,129,0.6021331279144715,0.5612480811330894,2.220446049250313e-16,0.0
suining,suining,mean_shift_2h,opsda_cui2015_4h_0.025,gaf_pca6,129,0.13933632418550543,0.05667613617302224,VALID,129,0.1393363241855051,0.0566761361730222,3.3306690738754696e-16,3.469446951953614e-17
suining,suining,mean_shift_2h,opsda_cui2015_4h_0.025,gaf_signed_pca6,129,0.13757945757769408,0.052521541225900734,VALID,129,0.1375794575776938,0.0525215412259007,2.7755575615628914e-16,3.469446951953614e-17
suining,suining,mean_shift_2h,opsda_cui2015_4h_0.025,event_row_permutation,129,0.026045156001580153,-0.01358779688714266,VALID,129,0.0260451560015804,-0.0135877968871426,2.463307335887066e-16,6.071532165918825e-17
suining,suining,mean_shift_2h,opsda_cui2015_4h_0.025,within_event_time_permutation,129,0.6336194834403425,0.6644333193763682,VALID,129,0.6336194834403426,0.6644333193763682,1.1102230246251565e-16,0.0
suining,suining,mean_shift_2h,sda_florita2013_0.025,raw25,0,,,INSUFFICIENT_SUPPORT,-1,,,,
