window_id,site,turbine,stratum,anchor,source,scale,source_clock
M045,greece,WT02,turning_screen,2020-05-20 01:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT02_data.csv.gz,3000.4,source clock (timezone unresolved)
M046,yandun,100,random_screen,2024-07-20 14:30:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M047,greece,WT04,random_screen,2020-06-23 07:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT04_data.csv.gz,3000.3,source clock (timezone unresolved)
M048,greece,WT03,steady_screen,2020-06-18 03:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT03_data.csv.gz,2999.7940000000003,source clock (timezone unresolved)
M049,greece,WT05,falling_screen,2020-06-22 06:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT05_data.csv.gz,3000.4,source clock (timezone unresolved)
M050,yandun,10,steady_screen,2024-07-13 18:30:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M051,sdwpf,68,falling_screen,2021-10-04 18:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M052,yandun,101,random_screen,2024-07-21 06:00:00+00:00,data/event_clean_v2/yandun/101.csv.gz,2022.7742,UTC (cleaned source)
M053,sdwpf,91,falling_screen,2021-05-28 20:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.49,source clock (timezone not reverified)
M054,pizhou,HRPZ#01(F01),random_screen,2024-09-17 04:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#01(F01).csv.gz,2681.509338617667,UTC (cleaned source)
M055,yandun,103,turning_screen,2024-08-07 12:30:00+00:00,data/event_clean_v2/yandun/103.csv.gz,2039.7018249999999,UTC (cleaned source)
M056,yandun,101,steady_screen,2024-07-28 20:00:00+00:00,data/event_clean_v2/yandun/101.csv.gz,2022.7742,UTC (cleaned source)
M057,greece,WT04,steady_screen,2020-05-12 00:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT04_data.csv.gz,3000.3,source clock (timezone unresolved)
M058,greece,WT02,random_screen,2020-04-24 21:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT02_data.csv.gz,3000.4,source clock (timezone unresolved)
M059,sdwpf,46,steady_screen,2021-09-24 02:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M060,pizhou,HRPZ#05(F05),random_screen,2024-08-01 06:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#05(F05).csv.gz,2681.320462851,UTC (cleaned source)
M061,yandun,10,steady_screen,2024-07-16 16:30:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M062,greece,WT04,random_screen,2020-06-01 11:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT04_data.csv.gz,3000.3,source clock (timezone unresolved)
M063,yandun,1,rising_screen,2024-07-20 05:30:00+00:00,data/event_clean_v2/yandun/1.csv.gz,1531.2685,UTC (cleaned source)
M064,pizhou,HRPZ#03(F03),turning_screen,2024-07-25 15:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#03(F03).csv.gz,2680.920904541667,UTC (cleaned source)
M065,yandun,101,random_screen,2024-07-26 11:30:00+00:00,data/event_clean_v2/yandun/101.csv.gz,2022.7742,UTC (cleaned source)
M066,sdwpf,114,steady_screen,2021-04-30 21:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M067,greece,WT03,steady_screen,2020-05-11 21:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT03_data.csv.gz,2999.7940000000003,source clock (timezone unresolved)
M068,sdwpf,91,random_screen,2021-12-05 07:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.49,source clock (timezone not reverified)
M069,greece,WT02,rising_screen,2020-05-19 17:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT02_data.csv.gz,3000.4,source clock (timezone unresolved)
M070,greece,WT06,falling_screen,2020-06-17 18:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
M071,yandun,10,steady_screen,2024-08-14 04:30:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M072,yandun,100,random_screen,2024-08-15 00:30:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M073,sdwpf,46,steady_screen,2021-03-18 02:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M074,sdwpf,1,steady_screen,2021-07-05 06:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1549.82,source clock (timezone not reverified)
M075,yandun,102,turning_screen,2024-08-09 09:00:00+00:00,data/event_clean_v2/yandun/102.csv.gz,2030.0348999999999,UTC (cleaned source)
M076,sdwpf,68,rising_screen,2021-05-10 14:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M077,yandun,100,rising_screen,2024-07-16 12:00:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M078,sdwpf,23,steady_screen,2021-04-14 17:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.81,source clock (timezone not reverified)
M079,pizhou,HRPZ#02(F02),turning_screen,2024-09-18 14:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#02(F02).csv.gz,2681.1422765999996,UTC (cleaned source)
M080,yandun,1,turning_screen,2024-07-17 09:00:00+00:00,data/event_clean_v2/yandun/1.csv.gz,1531.2685,UTC (cleaned source)
M081,greece,WT06,random_screen,2020-05-10 09:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
