turbine,frequency,grid_rows,usable_rows,threshold_4h_candidates,median_abs_change,native_gaps_gt15min
95,60min,4168,1654,262,0.06050937499999998,1
96,15min,16669,7481,1511,0.0655,1
96,30min,8335,3681,698,0.06075,1
96,60min,4168,1783,295,0.05687500000000001,1
97,15min,16861,7314,1609,0.0684999999999999,1
97,30min,8431,3562,757,0.06605625000000001,1
97,60min,4216,1722,301,0.06382812500000001,1
98,15min,16861,7311,1521,0.07150000000000001,1
98,30min,8431,3550,667,0.0675,1
98,60min,4216,1707,262,0.06311875,1
99,15min,16861,7652,1471,0.05800000000000001,1
99,30min,8431,3754,670,0.055249999999999994,1
99,60min,4216,1810,272,0.05275,1
100,15min,16861,7361,1642,0.0695,1
100,30min,8431,3592,746,0.06689624999999996,1
100,60min,4216,1726,312,0.06571,1
101,15min,16861,7222,1533,0.068,1
101,30min,8431,3528,706,0.06521125000000004,1
101,60min,4216,1695,281,0.06134749999999999,1
102,15min,16861,7098,1623,0.074465,1
102,30min,8431,3491,751,0.07317499999999999,1
102,60min,4216,1683,318,0.06593750000000001,1
103,15min,16861,7154,1713,0.075725,1
103,30min,8431,3509,811,0.07500500000000007,1
103,60min,4216,1685,331,0.06584687500000003,1
104,15min,16861,7234,1723,0.07539499999999999,1
104,30min,8431,3548,791,0.07328749999999995,1
104,60min,4216,1712,318,0.0677625,1
105,15min,16861,7718,1781,0.0695,1
105,30min,8431,3814,831,0.06665500000000003,1
105,60min,4216,1866,339,0.06001624999999999,1
106,15min,16861,7656,1767,0.07,1
106,30min,8431,3760,809,0.06834499999999999,1
106,60min,4216,1817,332,0.066605625,1
107,15min,16861,7473,1747,0.07158000000000002,1
107,30min,8431,3624,793,0.07225,1
107,60min,4216,1732,316,0.072375,1
108,15min,16861,7232,1523,0.07616499999999998,1
108,30min,8431,3550,713,0.07125625,1
108,60min,4216,1714,279,0.065,1
109,15min,16861,7690,1463,0.05737500000000001,1
109,30min,8431,3786,682,0.053485000000000005,1
109,60min,4216,1842,273,0.05311124999999997,1
110,15min,16861,7681,1660,0.0665,1
110,30min,8431,3775,753,0.06475,1
110,60min,4216,1831,297,0.05984500000000001,1
111,15min,16861,7654,1520,0.0595,1
111,30min,8431,3761,711,0.057999999999999996,1
111,60min,4216,1816,297,0.056999999999999995,1
112,15min,16861,7682,1534,0.06195250000000001,1
112,30min,8431,3777,692,0.059,1
112,60min,4216,1830,281,0.05525000000000002,1
113,15min,16861,7120,1524,0.07169500000000001,1
113,30min,8431,3486,705,0.06988499999999997,1
113,60min,4216,1680,307,0.06187500000000001,1
114,15min,16861,7209,1499,0.06849999999999999,1
114,30min,8431,3543,690,0.06512500000000004,1
114,60min,4216,1716,278,0.05869999999999999,1
115,15min,16861,7334,1699,0.07658999999999999,1
115,30min,8431,3550,756,0.07327250000000002,1
115,60min,4216,1701,337,0.06755625000000001,1
116,15min,16765,7045,1682,0.08201000000000008,1
116,30min,8383,3408,773,0.07750000000000001,1
116,60min,4192,1630,337,0.073888125,1
117,15min,16765,7571,1763,0.071,1
117,30min,8383,3713,819,0.06674375,1
117,60min,4192,1792,339,0.06139395833333334,1
