site,left_minutes,right_minutes,config,left_events,right_events,matched_pairs,left_coverage,right_coverage,nmi,ari,agreement,informative,prototype,normalization,block_days,occupied_blocks,bootstrap_valid_nmi,bootstrap_valid_ari,nmi_low,nmi_high,ari_low,ari_high,coverage
yandun,15,30,mean_shift_120min,10213,9934,9806,0.9601488299226476,0.987114958727602,0.627093094672371,0.6315034813829343,0.8163369365694473,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6182859233665794,0.6446545068621669,0.6208078572592248,0.6543490879714762,0.9601488299226476
yandun,15,30,mean_shift_240min,6380,6302,6274,0.983385579937304,0.9955569660425262,0.6411274153523504,0.6889999668047044,0.8567102327064074,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6187293133389864,0.6775508118360984,0.657606250451081,0.7263864747844657,0.983385579937304
yandun,15,30,mean_shift_60min,14284,13381,12790,0.8954074488938673,0.9558328973918242,0.6287395569316929,0.6433957765793363,0.7868647380766224,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6204613175047393,0.6422880577182404,0.6326970076921262,0.6593217194229385,0.8954074488938673
yandun,15,30,opsda_cui2015_120min_0.025,39077,18647,13205,0.3379225631445607,0.7081568080656406,0.5674075129961,0.7177790102459206,0.8924649753881105,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.5507936624765304,0.5945945936350359,0.7002302139131592,0.7444544388785118,0.3379225631445607
yandun,15,30,opsda_cui2015_240min_0.025,45799,27205,17558,0.3833708159566802,0.645396066899467,0.6282322705494335,0.7709748049817401,0.9123476477958764,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6119095585856337,0.6535236980393156,0.7561162096254974,0.7926781414982744,0.3833708159566802
yandun,15,30,opsda_cui2015_60min_0.025,26236,10472,6865,0.2616633633175789,0.6555576776165012,0.5084027039260061,0.6646750002604059,0.8713765477057538,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.4957724731158152,0.5306292615197956,0.6514425237116538,0.6855366531531515,0.2616633633175789
yandun,15,30,sda_florita2013_0.025,25667,16141,9255,0.3605797327307437,0.5733845486648906,0.5614577683555398,0.7110561987794731,0.896056185845489,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.5454101517662958,0.5879294734144869,0.6956849816521694,0.7341900022779845,0.3605797327307437
yandun,15,30,threshold_120min,20521,16336,15889,0.7742800058476682,0.9726371204701272,0.6757008534925728,0.7654185954790138,0.8736861979986154,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6578779103920503,0.7003748984142032,0.7424517708832126,0.7958713922392834,0.7742800058476682
yandun,15,30,threshold_240min,16302,13319,13179,0.8084284136915716,0.9894887003528794,0.6225425501166527,0.7073162560307723,0.8489263221792245,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.5905334031770829,0.676728979009659,0.6562625113615372,0.7757491492359031,0.8084284136915716
yandun,15,30,threshold_60min,24714,18342,17494,0.7078578943109168,0.9537673099989096,0.7501098090932472,0.8378501723569513,0.9161426774894248,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.7365702046355861,0.7694440894343708,0.8232107556822319,0.8535856145681221,0.7078578943109168
